shot,start_s,end_s,dur_s
1,0.0,0.6,0.6
2,0.6,1.67,1.07
3,1.67,2.67,1.0
4,2.67,2.9,0.23
5,2.9,3.5,0.6
6,3.5,4.57,1.07
7,4.57,5.37,0.8
8,5.37,6.0,0.63
9,6.0,7.0,1.0
10,7.0,8.0,1.0
11,8.0,9.6,1.6
12,9.6,10.4,0.8
13,10.4,13.37,2.97
14,13.37,14.73,1.36
15,14.73,17.1,2.37
16,17.1,17.83,0.73
17,17.83,18.83,1.0
18,18.83,19.87,1.04
19,19.87,20.7,0.83
20,20.7,22.57,1.87
21,22.57,23.0,0.43
22,23.0,23.17,0.17
23,23.17,24.17,1.0
24,24.17,25.33,1.16
25,25.33,26.43,1.1
26,26.5,27.6,1.1
27,27.6,29.23,1.63
28,29.23,30.57,1.34
29,30.57,31.17,0.6
30,31.17,32.57,1.4
31,32.57,42.7,10.13
32,42.7,47.3,4.6
33,47.3,51.83,4.53
34,51.83,56.77,4.94
35,56.77,61.0,4.23
36,61.0,61.4,0.4
37,61.4,74.03,12.63
38,74.03,75.03,1.0
39,75.03,76.3,1.27
40,76.3,77.1,0.8
41,77.1,77.8,0.7
42,77.8,78.83,1.03
43,78.83,80.13,1.3
44,80.13,81.83,1.7
45,81.83,84.13,2.3
46,84.13,85.63,1.5
47,85.63,91.87,6.24
48,91.87,92.1,0.23
49,92.1,93.03,0.93
50,93.03,97.8,4.77
51,97.8,100.01,2.21
