ts,final,verdict,grade_applied,exports_complete,no_enlarge,metadata_clean,no_banned_tokens,log_not_silent,text_legible,identity_withheld,beats_source
2026-06-04 22:33:07,lot00_composite.png,REJECT,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
2026-06-04 22:33:29,lot00_composite.png,REJECT,PASS,PASS,"WARN(enlarged:['ig_feed_4x5', 'story_9x16', 'li_banner', 'yt_thumb_16x9', 'web_hero_3x2', 'print_4x5'])",PASS,PASS,PASS,FAIL,PASS,PASS
