shot,start_s,end_s,dur_s
1,0.0,5.07,5.07
2,5.07,5.23,0.16
3,5.23,32.63,27.4
4,32.63,35.13,2.5
5,35.13,35.67,0.54
6,35.67,40.43,4.76
7,40.43,40.77,0.34
8,40.77,52.1,11.33
9,52.1,55.1,3.0
10,55.1,63.63,8.53
11,63.7,76.27,12.57
12,76.27,85.03,8.76
13,85.03,90.03,5.0
