shot,start_s,end_s,dur_s
1,0.0,2.43,2.43
2,2.43,13.33,10.9
3,13.33,18.5,5.17
4,18.53,21.03,2.5
5,21.03,36.67,15.64
6,36.67,100.03,63.36
