extracted,words,segments_equiv,chunk_count,has_segment_ledger,twin_certified,needs_reread,bucket
the_choice_factory_shotton.txt,46653,7,4,no,no,yes,chunked_not_certified
made_to_stick_heath.txt,91273,14,4,no,no,yes,chunked_not_certified
this_is_marketing_godin.txt,57131,9,4,no,no,yes,chunked_not_certified
hey_whipple_squeeze_this_sullivan.txt,101154,16,4,no,no,yes,chunked_not_certified
copywriters_handbook_bly.txt,106829,16,4,no,no,yes,chunked_not_certified
presuasion_cialdini.txt,125144,19,4,no,no,yes,chunked_not_certified
influence_cialdini.txt,109932,17,6,no,no,yes,chunked_not_certified
contagious_berger.txt,69151,11,5,no,no,yes,chunked_not_certified
100m_offers_hormozi.txt,45050,7,4,yes,no,no,coverage_proven
100m_leads_hormozi.txt,68196,11,4,no,no,yes,chunked_not_certified
opportunity_card_example.txt,416,1,2,no,no,no,chunked_not_certified
opp_hopper_biz_case.txt,1936,1,2,no,no,no,chunked_not_certified
shoe_dog_knight.txt,122165,19,6,no,no,yes,chunked_not_certified
stoute_powerhouse_talk.txt,76128,12,8,no,no,yes,chunked_not_certified
art_of_war_sun_tzu.txt,54488,9,9,no,no,yes,chunked_not_certified
icp_definition_worksheet.txt,2614,1,4,no,no,no,chunked_not_certified
weekly_reflections.txt,1399,1,4,no,no,no,chunked_not_certified
setting_goals.txt,1264,1,3,no,no,no,chunked_not_certified
blitzscaling_hoffman_yeh.txt,86784,13,6,no,no,yes,chunked_not_certified
amp_it_up_slootman.txt,49597,8,5,no,no,yes,chunked_not_certified
live_from_new_york_snl.txt,234078,35,5,no,no,yes,chunked_not_certified
those_guys_espn.txt,308249,47,6,no,no,yes,chunked_not_certified
tinderbox_hbo.txt,426623,64,6,no,no,yes,chunked_not_certified
eating_the_big_fish_morgan.txt,125574,19,4,no,no,yes,chunked_not_certified
tribes_godin.txt,31472,5,3,no,no,yes,chunked_not_certified
never_split_the_difference_voss.txt,82437,13,4,no,no,yes,chunked_not_certified
