ts,label,segments,model_mix,est_cost,start_usd,end_usd,actual_cost,tokens,est_error_pct
2026-06-04 12:06,bookwave1,420,haiku+sonnet,60,450,510,60.00,72.8M,+0
2026-06-04 12:18,live_001_gen1,1,higgsfield,1,0,0,0.00,1 credit,-100
