ts,run_id,project,model_tool,credits_est,credits_actual,usd_est,usd_actual
2026-06-04 12:25,live001_g1,_live_001,nano-banana,1,1,UNKNOWN,UNKNOWN
2026-06-04 12:26,batch001,_batch_001,nano-banana,3,3,UNKNOWN,UNKNOWN
