project,status,credits,exports,proof,blockers,last_updated
_TEMPLATE,draft,0,0,not-activated,0,2026-06-04 12:04
_batch_001,ready,3,3,not-activated,0,2026-06-04 12:25
_live_001,closed,1,1,not-activated,0,2026-06-04 12:17
