slug,title,author,domain,words,segments,chunks,cited_by_doctrine,status
48lawsofpowergreene,The 48 Laws of Power,Robert Greene,power,229518,35,16,yes,provisional_chunked
stevejobsisaacson,Steve Jobs,Walter Isaacson,taste,243397,37,10,yes,provisional_chunked
stevensavedonsomethingpersonal,Avedon: Something Personal,Norma Stevens and Steven M. L.,portraiture,246485,37,12,yes,provisional_chunked
33strategiesofwargreene,The 33 Strategies of War,Robert Greene,strategy,264114,40,11,yes,provisional_chunked
lawsofhumannaturegreene,The Laws of Human Nature,Robert Greene,decision-making,270897,41,8,yes,provisional_chunked
titanrockefellerchernow,Titan,Ron Chernow,capital,332866,50,3,yes,provisional_chunked
thucydidespeloponnesianwar,The Landmark Thucydides: The Peloponnesian War,Thucydides (Robert B. Strassle,strategy,352171,53,6,yes,provisional_chunked
napoleonaliferoberts,Napoleon: A Life,Andrew Roberts,leadership,385251,58,14,yes,provisional_chunked
thesnowballschroeder,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,operator-doctrine,411944,62,3,yes,provisional_chunked
herodotushistories,The Landmark Herodotus: The Histories,Herodotus (Robert B. Strassler,operator-doctrine,437833,66,5,yes,provisional_chunked
intakeautomationaicontentstrategygeneratorjson,Automation · AI Content Strategy Generator (Lead Magnet),The AI Edge community (third-p,automation-blueprint,0,0,1,no,provisional_chunked
intakeautomationelevenlabsvoiceagentjson,Automation · ElevenLabs voice agent (lead qualification),The AI Edge community (third-p,automation-blueprint,0,0,1,no,provisional_chunked
teamofrivals,Team of Rivals · Emotional Self-Control,Doris Kearns Goodwin,leadership,0,0,3,no,provisional_chunked
leadershipinturbulenttimes,Leadership in Turbulent Times · Match Mode to Moment,Doris Kearns Goodwin,leadership,0,0,2,no,provisional_chunked
thedichotomyofleadership,Dichotomy of Leadership · Calibration Between Opposites,"Jocko Willink, Leif Babin",leadership,0,0,3,no,provisional_chunked
superforecastingworkflowframeworkprompt,Superforecasting Workflow (supplemental),Tetlock / Good Judgment (via f,meta-doctrine,0,0,1,no,provisional_chunked
strategykerneldevelopmentframeworkprompt,Strategy Kernel (supplemental),Richard Rumelt (via framework),strategy,0,0,1,no,provisional_chunked
personalanalyticsdecisionsystemscorpusabstracted,EV Gate,"BJ (operator method, abstracte",decision-systems,0,0,18,no,provisional_chunked
claudeagentsetcdocxclaudecodesubagentstranscript,Scoped-Specialist Delegation,BJ intake (abstracted),toolchain,0,0,1,no,provisional_chunked
claudeagentsetcdocx,Task Dependency Graph,BJ intake (abstracted),toolchain,0,0,2,no,provisional_chunked
gary20usedocxgaryveekeynote,Interest Media Over Social Media,Gary Vaynerchuk (abstracted),distribution,0,0,1,no,provisional_chunked
gary20usedocx,Creative-First Sequencing,Gary Vaynerchuk (abstracted),distribution,0,0,2,no,provisional_chunked
supercarllandingpage,Conversion-Page Skeleton,BJ intake (abstracted),commercial-architecture,0,0,1,no,provisional_chunked
openaiapimasterclass,Metered Pricing Ladder,BJ intake (abstracted),offer-design,0,0,1,no,provisional_chunked
photoshopeditorialedit,Swipe-File-to-Concept Fusion,creator (abstracted),aesthetics,0,0,1,no,provisional_chunked
onceuponatime,Attention-Hierarchy Editing,creator (abstracted),aesthetics,0,0,2,no,provisional_chunked
prompttemplateincontext,Prompt Templates Deep · cross-template pattern,The AI Edge (prompt-technique ,prompt-engineering,303,1,3,no,provisional_chunked
prompttemplatethoughtgeneration,Prompt Template · Thought Generation · The AI Edge,The AI Edge (prompt-technique ,prompt-engineering,314,1,2,no,provisional_chunked
prompttemplateproblemdecomposition,Prompt Template · Problem Decomposition · The AI Edge,The AI Edge (prompt-technique ,prompt-engineering,317,1,1,no,provisional_chunked
prompttemplateselfcriticismbasic,Prompt Template · Self-Criticism (Basic) · The AI Edge,The AI Edge (prompt-technique ,prompt-engineering,269,1,1,no,provisional_chunked
prompttemplateselfcriticismadvanced,Prompt Template · Self-Criticism (Advanced) · The AI Edge,The AI Edge (prompt-technique ,prompt-engineering,266,1,2,no,provisional_chunked
prompttemplatecombiningtechniques,Prompt Templates Deep · cross-template pattern,The AI Edge (prompt-technique ,prompt-engineering,420,1,3,no,provisional_chunked
findingyouredge,Finding Your Edge,The AI Edge,operator-process,1979,1,4,no,provisional_chunked
snipedosknowledgedump,SNIPED OS Knowledge Dump,SNIPED (operator-authored),operator-process,6086,1,6,no,provisional_chunked
artseries3annieleibovitz,Art Series Frame: Annie Leibovitz · Whoopi Goldberg in milk ,BJ / SNIPED Media,art-series,1531,1,3,no,provisional_chunked
artseries4stephenshore,"Art Series Frame: Stephen Shore · Breakfast, Trail's End Res",BJ / SNIPED Media,art-series,1943,1,3,no,provisional_chunked
artseries5fredherzog,"Art Series Frame: Fred Herzog · Man with Bandage, Vancouver,",BJ / SNIPED Media,art-series,2029,1,3,no,provisional_chunked
artseries6robertfrank,"Art Series Frame: Robert Frank · Trolley, New Orleans, 1955",BJ / SNIPED Media,art-series,1570,1,3,no,provisional_chunked
artseries7joelmeyerowitz,"Art Series Frame: Joel Meyerowitz · Porch, Provincetown, 197",BJ / SNIPED Media,art-series,2557,1,3,no,provisional_chunked
artseries8gracielaiturbide,Art Series Frame: Graciela Iturbide · Nuestra Señora de las ,BJ / SNIPED Media,art-series,1631,1,3,no,provisional_chunked
artseries9ernsthaas,"Art Series Frame: Ernst Haas · Bullfight, Spain, 1956",BJ / SNIPED Media,art-series,2129,1,3,no,provisional_chunked
artserieswrapper,The Art Series (wrapper),BJ / SNIPED Media,art-series,870,1,2,no,provisional_chunked
studyannieleibovitz,Study: Annie Leibovitz,BJ / SNIPED Media,art-series,4295,1,4,no,provisional_chunked
studystephenshore,Study: Stephen Shore,BJ / SNIPED Media,art-series,2223,1,4,no,provisional_chunked
studyfredherzog,Study: Fred Herzog,BJ / SNIPED Media,art-series,3520,1,4,no,provisional_chunked
