shot,start_s,end_s,dur_s
1,0.0,3.44,3.44
2,3.44,6.6,3.16
3,6.6,7.68,1.08
4,7.68,8.84,1.16
5,8.84,9.8,0.96
6,9.8,12.12,2.32
7,12.12,16.08,3.96
8,16.08,18.48,2.4
9,18.48,20.64,2.16
10,20.64,23.48,2.84
11,23.48,25.16,1.68
12,25.16,27.44,2.28
13,27.44,31.28,3.84
14,31.28,35.28,4.0
15,35.28,37.16,1.88
16,37.16,44.0,6.84
17,44.0,46.24,2.24
18,46.24,47.92,1.68
19,47.92,51.36,3.44
20,51.36,52.36,1.0
21,52.36,53.64,1.28
22,53.64,55.24,1.6
23,55.24,57.16,1.92
24,57.16,58.24,1.08
25,58.24,60.72,2.48
26,60.72,62.2,1.48
27,62.2,64.24,2.04
28,64.24,69.88,5.64
29,69.88,72.0,2.12
30,72.0,73.96,1.96
31,73.96,76.6,2.64
32,76.6,79.02,2.42
