ts,final,verdict,grade_applied,exports_complete,no_enlarge,metadata_clean,no_banned_tokens,log_not_silent,text_legible,identity_withheld,beats_source
2026-06-05 13:04:03,hero_graded.png,REJECT,FAIL,PASS,PASS,PASS,PASS,"WARN(unlogged:['hero_square_1x1_1080x1080.png', 'hero_print_4x5_2000x2500.png', 'hero_story_9x16_1080x1920.png', 'hero_li_banner_1584x396.png', 'hero_web_hero_3x2_2400x1600.png', 'hero_yt_thumb_16x9_1280x720.png', 'hero_ig_feed_4x5_1080x1350.png', 'hero_graded.png'])",PASS,PASS,PASS
2026-06-05 13:07:59,hero_graded.png,SHIP,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
