shot,start_s,end_s,dur_s
1,0.0,13.55,13.55
2,13.55,14.35,0.8
3,14.35,18.59,4.24
4,18.59,20.25,1.66
5,20.25,22.09,1.84
6,22.09,23.52,1.43
7,23.52,26.56,3.04
8,26.56,27.49,0.93
9,27.49,29.1,1.61
10,29.1,30.23,1.13
11,30.23,31.36,1.13
12,31.36,32.87,1.51
13,32.87,49.55,16.68
14,49.55,71.81,22.26
15,71.81,77.51,5.7
16,77.51,80.78,3.27
17,80.78,92.89,12.11
18,92.89,94.39,1.5
19,94.39,98.06,3.67
20,98.06,99.37,1.31
21,99.37,100.03,0.66
