batch,books,units,agents,status,result_count,failure_reason,retry
R1,5,6,16,DONE,5,5-whole-read-banked,0
R2,5,10,20,DONE,5,5-whole-read-banked,0
R3,5,10,20,DONE,5,5-whole-read-banked,0
R4,4,9,17,DONE,4,4-whole-read-banked,0
R5,3,9,15,DONE,3,3-whole-read-banked,0
R6,3,9,15,DONE,3,3-whole-read-banked,0
R7,2,7,11,DONE,2,2-whole-read-banked,0
R8,2,9,13,DONE,2,2-whole-read-banked,0
