ts,hero,candidate,verdict,auto_ssim,vision_score,reasons
2026-06-05 12:45,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/locked_heroes/axis_v2/refs/axis_facecrop.png,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/MAX_PRODUCTION_PROOF_001/02_GENERATION/hero_cand_02.png,PASS,0.218,0.86,vision score 0.86 >= 0.7
2026-06-05 12:45,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/locked_heroes/axis_v2/refs/axis_facecrop.png,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/MAX_PRODUCTION_PROOF_001/02_GENERATION/hero_cand_04.png,PASS,0.592,0.92,vision score 0.92 >= 0.7
