ts,final,verdict,grade_applied,exports_complete,no_enlarge,metadata_clean,no_banned_tokens,log_not_silent,text_legible,identity_withheld,beats_source
2026-06-04 23:27:00,final.png,SHIP,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2026-06-04 23:28:37,final.png,SHIP,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
