ts,gen_id,prompt_id,model,params,credits_est,asset,status
2026-06-04 14:04,Ghero1,hero,nano_banana_pro,"downloaded,1549KB",2,axis_hero_v1.png,raw
2026-06-04 14:16,Ghero2,hero,nano_banana_pro,"downloaded,1791KB",2,axis_hero_v2.png,raw
2026-06-04 14:45,Vmotion1,motion,seedance_2_0,"downloaded,1908KB",18,axis_motion_v1.mp4,raw
