ts,source,output,x,y,radius,color,reason
2026-06-04 14:18,campaign_house/axis_meridian_motion_001/04_generations/axis_hero_v2.png,campaign_house/axis_meridian_motion_001/04_generations/axis_hero_v2_marked.png,468,505,3,#3c2823,RUN-002: 4 hard pillars held; soft signature mole dropped by model; restored per CRS signature_details policy
2026-06-04 14:19,campaign_house/axis_meridian_motion_001/04_generations/axis_hero_v2.png,campaign_house/axis_meridian_motion_001/04_generations/axis_hero_v2_marked.png,440,590,3,#3c2823,"RUN-002 corrected placement: below inner corner of left eye (prior attempt at 468,505 landed on forehead; coordinate re-read from eye-band crop)"
