ts,prompt_id,version,stage,model,prompt_file,notes
2026-06-04 14:03,hero,1,hero-still,nano_banana_pro,hero_v1.txt,
2026-06-04 14:15,hero,2,hero-still-v2,nano_banana_pro,hero_v2.txt,
2026-06-04 14:41,motion,1,motion-clip,seedance_2_0,motion_v1.txt,
